level0,level1,level2,level3,level4,level5
51947,5194x,519xx,51xxx,5xxxx,España
21713,2171x,217xx,21xxx,2xxxx,España
50756,5075x,507xx,50xxx,5xxxx,España
08919,0891x,089xx,08xxx,0xxxx,España
15667,1566x,156xx,15xxx,1xxxx,España
21125,2112x,211xx,21xxx,2xxxx,España
50308,5030x,503xx,50xxx,5xxxx,España
17782,1778x,177xx,17xxx,1xxxx,España
34283,3428x,342xx,34xxx,3xxxx,España
32349,3234x,323xx,32xxx,3xxxx,España
11793,1179x,117xx,11xxx,1xxxx,España
30164,3016x,301xx,30xxx,3xxxx,España
29240,2924x,292xx,29xxx,2xxxx,España
06067,0606x,060xx,06xxx,0xxxx,España
15838,1583x,158xx,15xxx,1xxxx,España
25978,2597x,259xx,25xxx,2xxxx,España
36762,3676x,367xx,36xxx,3xxxx,España
44829,4482x,448xx,44xxx,4xxxx,España
34360,3436x,343xx,34xxx,3xxxx,España
35741,3574x,357xx,35xxx,3xxxx,España
09374,0937x,093xx,09xxx,0xxxx,España
04603,0460x,046xx,04xxx,0xxxx,España
48270,4827x,482xx,48xxx,4xxxx,España
05283,0528x,052xx,05xxx,0xxxx,España
52102,5210x,521xx,52xxx,5xxxx,España
09469,0946x,094xx,09xxx,0xxxx,España
25691,2569x,256xx,25xxx,2xxxx,España
43143,4314x,431xx,43xxx,4xxxx,España
20852,2085x,208xx,20xxx,2xxxx,España
52044,5204x,520xx,52xxx,5xxxx,España
04266,0426x,042xx,04xxx,0xxxx,España
22726,2272x,227xx,22xxx,2xxxx,España
33134,3313x,331xx,33xxx,3xxxx,España
52475,5247x,524xx,52xxx,5xxxx,España
29020,2902x,290xx,29xxx,2xxxx,España
45917,4591x,459xx,45xxx,4xxxx,España
07052,0705x,070xx,07xxx,0xxxx,España
09189,0918x,091xx,09xxx,0xxxx,España
16658,1665x,166xx,16xxx,1xxxx,España
39523,3952x,395xx,39xxx,3xxxx,España
11849,1184x,118xx,11xxx,1xxxx,España
32676,3267x,326xx,32xxx,3xxxx,España
43945,4394x,439xx,43xxx,4xxxx,España
29367,2936x,293xx,29xxx,2xxxx,España
47669,4766x,476xx,47xxx,4xxxx,España
35409,3540x,354xx,35xxx,3xxxx,España
03446,0344x,034xx,03xxx,0xxxx,España
52997,5299x,529xx,52xxx,5xxxx,España
38027,3802x,380xx,38xxx,3xxxx,España
10178,1017x,101xx,10xxx,1xxxx,España
42852,4285x,428xx,42xxx,4xxxx,España
50266,5026x,502xx,50xxx,5xxxx,España
42757,4275x,427xx,42xxx,4xxxx,España
18645,1864x,186xx,18xxx,1xxxx,España
48794,4879x,487xx,48xxx,4xxxx,España
41750,4175x,417xx,41xxx,4xxxx,España
31815,3181x,318xx,31xxx,3xxxx,España
15662,1566x,156xx,15xxx,1xxxx,España
10877,1087x,108xx,10xxx,1xxxx,España
13472,1347x,134xx,13xxx,1xxxx,España
08382,0838x,083xx,08xxx,0xxxx,España
04136,0413x,041xx,04xxx,0xxxx,España
33826,3382x,338xx,33xxx,3xxxx,España
36007,3600x,360xx,36xxx,3xxxx,España
20126,2012x,201xx,20xxx,2xxxx,España
19054,1905x,190xx,19xxx,1xxxx,España
05612,0561x,056xx,05xxx,0xxxx,España
23958,2395x,239xx,23xxx,2xxxx,España
26098,2609x,260xx,26xxx,2xxxx,España
52042,5204x,520xx,52xxx,5xxxx,España
01273,0127x,012xx,01xxx,0xxxx,España
17217,1721x,172xx,17xxx,1xxxx,España
48156,4815x,481xx,48xxx,4xxxx,España
43362,4336x,433xx,43xxx,4xxxx,España
30307,3030x,303xx,30xxx,3xxxx,España
29296,2929x,292xx,29xxx,2xxxx,España
26931,2693x,269xx,26xxx,2xxxx,España
07065,0706x,070xx,07xxx,0xxxx,España
22402,2240x,224xx,22xxx,2xxxx,España
13888,1388x,138xx,13xxx,1xxxx,España
02483,0248x,024xx,02xxx,0xxxx,España
06489,0648x,064xx,06xxx,0xxxx,España
07389,0738x,073xx,07xxx,0xxxx,España
13937,1393x,139xx,13xxx,1xxxx,España
47204,4720x,472xx,47xxx,4xxxx,España
46462,4646x,464xx,46xxx,4xxxx,España
35783,3578x,357xx,35xxx,3xxxx,España
43471,4347x,434xx,43xxx,4xxxx,España
26864,2686x,268xx,26xxx,2xxxx,España
30776,3077x,307xx,30xxx,3xxxx,España
04235,0423x,042xx,04xxx,0xxxx,España
14103,1410x,141xx,14xxx,1xxxx,España
18374,1837x,183xx,18xxx,1xxxx,España
35695,3569x,356xx,35xxx,3xxxx,España
20257,2025x,202xx,20xxx,2xxxx,España
34433,3443x,344xx,34xxx,3xxxx,España
46406,4640x,464xx,46xxx,4xxxx,España
32217,3221x,322xx,32xxx,3xxxx,España
35207,3520x,352xx,35xxx,3xxxx,España
01618,0161x,016xx,01xxx,0xxxx,España
12616,1261x,126xx,12xxx,1xxxx,España
16481,1648x,164xx,16xxx,1xxxx,España
12192,1219x,121xx,12xxx,1xxxx,España
24350,2435x,243xx,24xxx,2xxxx,España
29559,2955x,295xx,29xxx,2xxxx,España
39900,3990x,399xx,39xxx,3xxxx,España
18914,1891x,189xx,18xxx,1xxxx,España
30651,3065x,306xx,30xxx,3xxxx,España
34851,3485x,348xx,34xxx,3xxxx,España
19512,1951x,195xx,19xxx,1xxxx,España
33197,3319x,331xx,33xxx,3xxxx,España
42953,4295x,429xx,42xxx,4xxxx,España
16059,1605x,160xx,16xxx,1xxxx,España
24666,2466x,246xx,24xxx,2xxxx,España
36556,3655x,365xx,36xxx,3xxxx,España
27014,2701x,270xx,27xxx,2xxxx,España
10871,1087x,108xx,10xxx,1xxxx,España
35803,3580x,358xx,35xxx,3xxxx,España
17799,1779x,177xx,17xxx,1xxxx,España
14742,1474x,147xx,14xxx,1xxxx,España
38093,3809x,380xx,38xxx,3xxxx,España
29636,2963x,296xx,29xxx,2xxxx,España
05779,0577x,057xx,05xxx,0xxxx,España
04548,0454x,045xx,04xxx,0xxxx,España
39122,3912x,391xx,39xxx,3xxxx,España
13482,1348x,134xx,13xxx,1xxxx,España
41089,4108x,410xx,41xxx,4xxxx,España
36511,3651x,365xx,36xxx,3xxxx,España
31484,3148x,314xx,31xxx,3xxxx,España
51929,5192x,519xx,51xxx,5xxxx,España
29181,2918x,291xx,29xxx,2xxxx,España
20308,2030x,203xx,20xxx,2xxxx,España
02051,0205x,020xx,02xxx,0xxxx,España
29578,2957x,295xx,29xxx,2xxxx,España
46603,4660x,466xx,46xxx,4xxxx,España
28041,2804x,280xx,28xxx,2xxxx,España
27567,2756x,275xx,27xxx,2xxxx,España
19558,1955x,195xx,19xxx,1xxxx,España
50043,5004x,500xx,50xxx,5xxxx,España
32140,3214x,321xx,32xxx,3xxxx,España
05282,0528x,052xx,05xxx,0xxxx,España
31115,3111x,311xx,31xxx,3xxxx,España
21223,2122x,212xx,21xxx,2xxxx,España
10206,1020x,102xx,10xxx,1xxxx,España
47148,4714x,471xx,47xxx,4xxxx,España
06454,0645x,064xx,06xxx,0xxxx,España
28510,2851x,285xx,28xxx,2xxxx,España
21831,2183x,218xx,21xxx,2xxxx,España
01043,0104x,010xx,01xxx,0xxxx,España
17078,1707x,170xx,17xxx,1xxxx,España
08385,0838x,083xx,08xxx,0xxxx,España
27042,2704x,270xx,27xxx,2xxxx,España
44550,4455x,445xx,44xxx,4xxxx,España
12006,1200x,120xx,12xxx,1xxxx,España
11996,1199x,119xx,11xxx,1xxxx,España
52148,5214x,521xx,52xxx,5xxxx,España
19336,1933x,193xx,19xxx,1xxxx,España
18479,1847x,184xx,18xxx,1xxxx,España
13612,1361x,136xx,13xxx,1xxxx,España
33800,3380x,338xx,33xxx,3xxxx,España
36267,3626x,362xx,36xxx,3xxxx,España
22992,2299x,229xx,22xxx,2xxxx,España
24245,2424x,242xx,24xxx,2xxxx,España
04571,0457x,045xx,04xxx,0xxxx,España
50295,5029x,502xx,50xxx,5xxxx,España
45689,4568x,456xx,45xxx,4xxxx,España
09653,0965x,096xx,09xxx,0xxxx,España
21266,2126x,212xx,21xxx,2xxxx,España
26417,2641x,264xx,26xxx,2xxxx,España
19401,1940x,194xx,19xxx,1xxxx,España
29399,2939x,293xx,29xxx,2xxxx,España
02258,0225x,022xx,02xxx,0xxxx,España
36411,3641x,364xx,36xxx,3xxxx,España
29551,2955x,295xx,29xxx,2xxxx,España
05603,0560x,056xx,05xxx,0xxxx,España
50746,5074x,507xx,50xxx,5xxxx,España
04543,0454x,045xx,04xxx,0xxxx,España
50115,5011x,501xx,50xxx,5xxxx,España
01566,0156x,015xx,01xxx,0xxxx,España
11537,1153x,115xx,11xxx,1xxxx,España
